Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Albania,ALB,Urban land area (sq. km),827.6939565,,,,,,
Albania,ALB,Urban land area where elevation is below 5 meters (% of total land area),0.235674406,,,,,,
Albania,ALB,Urban land area where elevation is below 5 meters (sq. km),66.36425243,,,,,,
Andorra,AND,Urban population (% of total population),88.345,88.248,88.15,88.062,87.984,87.916,87.858
Andorra,AND,Urban population,63384,64015,65087,66058,67170,68311,69438
Andorra,AND,Urban population growth (annual %),0.066284743,0.990596724,1.660740559,1.48083075,1.669357528,1.68440885,1.636346031
Andorra,AND,"Mortality caused by road traffic injury (per 100,000 population)",,,,,,,
Andorra,AND,Pump price for gasoline (US$ per liter),,,,,,,
Andorra,AND,Pump price for diesel fuel (US$ per liter),,,,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million (% of total population),,,,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million,,,,,,,
Andorra,AND,Population in the largest city (% of urban population),,,,,,,
Andorra,AND,Population in largest city,,,,,,,
Andorra,AND,Population living in slums (% of urban population),,,,,,,
Andorra,AND,Urban population living in areas where elevation is below 5 meters (% of total population),0,,,,,,
Andorra,AND,Population density (people per sq. km of land area),152.6510638,154.3404255,157.1,159.6021277,162.4319149,165.3191489,
Andorra,AND,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",90.84806274,17.41955772,17.82445949,,,,
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.46217847,10.25583443,10.30762139,,,,
Andorra,AND,"Access to electricity, urban (% of urban population)",100,100,100,100,100,100,
Andorra,AND,Urban land area (sq. km),30.93581543,,,,,,
Andorra,AND,Urban land area where elevation is below 5 meters (% of total land area),0,,,,,,
Andorra,AND,Urban land area where elevation is below 5 meters (sq. km),0,,,,,,
Arab World,ARB,Urban population (% of total population),57.84615313,58.12325538,58.37128997,58.62957616,58.88381697,59.08761901,59.29488647
Arab World,ARB,Urban population,235145769,241256824,247298631,253599696,259953055,265438305,270693478
Arab World,ARB,Urban population growth (annual %),2.75797536,2.598836894,2.504305122,2.547957898,2.505270748,2.110092532,1.979809583
Arab World,ARB,"Mortality caused by road traffic injury (per 100,000 population)",20.13879923,19.9058576,19.74375743,20.13663296,20.19808074,,
Arab World,ARB,Pump price for gasoline (US$ per liter),,0.67,,,,,
Arab World,ARB,Pump price for diesel fuel (US$ per liter),,0.565,,,,,
Arab World,ARB,Population in urban agglomerations of more than 1 million (% of total population),22.1738812,22.49291958,22.66582747,22.83446419,22.86567409,22.95638679,23.07455421
Arab World,ARB,Population in urban agglomerations of more than 1 million,,,,,,,
Arab World,ARB,Population in the largest city (% of urban population),28.06083542,28.1417124,28.22414887,28.29974391,28.21864495,28.24067634,28.29347195
Arab World,ARB,Population in largest city,,,,,,,
Arab World,ARB,Population living in slums (% of urban population),,23.64711953,,23.97407057,,,
Arab World,ARB,Urban population living in areas where elevation is below 5 meters (% of total population),5.623321283,,,,,,
Arab World,ARB,Population density (people per sq. km of land area),31.02943629,31.684061,32.33951901,33.01741807,33.6984203,34.29079926,
Arab World,ARB,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",100,100,100,,,,
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",60.81831919,59.15008941,59.054478,,,,
Arab World,ARB,"Access to electricity, urban (% of urban population)",97.08089218,97.306846,97.51269644,97.60167352,98.28216653,97.52017756,
Arab World,ARB,Urban land area (sq. km),76974.63256,,,,,,
Arab World,ARB,Urban land area where elevation is below 5 meters (% of total land area),0.058729673,,,,,,
Arab World,ARB,Urban land area where elevation is below 5 meters (sq. km),7613.177913,,,,,,
United Arab Emirates,ARE,Urban population (% of total population),85.674,85.965,86.248,86.522,86.789,87.048,87.299
