Country Name,Country Code,national_courage,national_courage_unweighted,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio,ipums_edu_tertiary_attain,ipums_edu_adult_literacy,ipums_urbanisation,ipums_idv,wvs_idv,global_terrorism_index,hofstede_idv,hofstede_mas,global_innovation_index,hofstede_pwd,hofstede_una,hofstede_lto,hofstede_idg,uz_tightloose,eriksson_tightloose,allik_big_five_openness,allik_big_five_conscientiousness,allik_big_five_extraversion,allik_big_five_agreeableness,allik_big_five_neuroticism,global_giving_index_rank,GLOBE_future_orientation_societal_practices,GLOBE_future_orientation_societal_values,GLOBE_humane_orientation_societal_practices,GLOBE_humane_orientation_societal_values,GLOBE_performance_orientation_societal_practices,GLOBE_performance_orientation_societal_values,rosenberg_self_esteem
Kenya,KEN,0.6786471419640165,0.6708045602605863,,,,,,77.63126,84.87439,97.33108,4.04682,2081.79896988923,0.3119481679697548,82.62000275,88.69999695,99.67874146,,,10.0383997,110347000000.0,2081.799855,4587.1863196792,246658971751.366,91.34093545,32.59106039,11.81592765,28.493,0.0085943737378481,1.0,0.307612830507679,-1.05830677100122,-0.305552965264783,5.644,27.0,41.0,26.13,70.0,50.0,,,,2.36,,,,,,2.0,,,,,,,
Kuwait,KWT,0.5651762420466195,0.7049356568364611,,,,,,95.69849,92.87294,98.60423,27.02705,32150.1788243815,,96.45754242,99.30332184,79.35357666,82.63321,86.52941,61.13386917,105960000000.0,24300.32944,47303.1298528111,202010996133.611,244.6938272,74.75834766,74.75834766,100.0,,,,,,1.795,25.0,40.0,28.4,90.0,80.0,,,,,,,,,,,3.26,5.74,4.52,5.06,3.95,6.03,
Latvia,LVA,0.530246290270258,0.6213884892086331,10.605479,39.00124,50.393284,76741.786,40685.382515,93.5173,96.36553,115.32151,67.03973,21267.46224347,0.6815008057687869,99.88999939,99.81999969,98.32875824,96.30354,93.79965,94.51083374,39853501580.0,21148.16294,31424.9022103534,59721423980.7638,30.53911297,48.68693418,,68.421,,,,,,0.115,70.0,9.0,41.11,44.0,63.0,69.0,13.0,42.7,1.88,47.3,46.5,45.6,42.9,54.1,111.0,,,,,,,29.88
Lebanon,LBN,0.60701295366907,0.6984352226720647,,,,,,93.28772,86.5873,79.11543,42.77283,6784.79932772586,,95.30000305,99.79000092,,,,,23131940281.0,4136.146347,11376.7939846074,77651647487.8869,553.5604106,48.86179885,43.53244475,89.093,,,,,-0.800435849158243,3.661,43.0,48.0,26.02,62.0,57.0,22.0,10.0,,,,,,,,115.0,,,,,,,30.52
Lithuania,LTU,0.6031067663056466,0.6281305882352941,6.7329736,45.343121,47.923908,139748.025,49328.635767,97.20947,97.87817,104.42788,68.53141,23844.1256495224,,99.83000183,99.94999695,103.6344833,98.17529,98.42562,70.78690338,66445256585.0,23723.34025,38880.5452693822,108666652765.217,44.63246567,28.24824945,,68.249,,,,,,0.229,60.0,19.0,39.18,42.0,65.0,82.0,16.0,54.4,,47.2,46.2,47.5,46.5,52.2,83.0,,,,,,,29.6
Malaysia,MYS,0.6844941187039513,0.6633775547224574,,,,,,94.22624,94.59888,90.92951,29.69786,11100.9437246863,0.7726207316929393,94.97113037,96.77839661,104.6396713,99.64564,72.21113,42.56721497,372981000000.0,11109.26184,27921.4109533867,903704331074.494,101.0500472,31.47621498,24.45575986,77.696,0.0572122282308796,0.669484604348306,0.657587462752456,-1.35438816817454,0.45790273162981,2.09,26.0,50.0,42.42,100.0,36.0,41.0,57.0,,0.47,46.6,54.2,42.5,58.5,54.2,,4.58,5.89,4.87,5.51,4.34,6.04,29.83
Malta,MLT,0.6269244297107909,0.6519667590027701,,,,,,96.87554,96.55773,90.30803,45.08241,33641.5956848401,,94.94000244,99.44999695,109.0223694,99.53764,92.96077,71.49815369,17364044944.0,33486.67198,43243.1726484364,22284590647.264,1610.4125,,,94.81,,,,,,,59.0,47.0,46.39,56.0,96.0,47.0,66.0,28.1,,,,,,,35.0,,,,,,,29.53
Mexico,MEX,0.6778522381985053,0.6872319391634981,57.190308,20.45546,22.354233,2480684.356,19438.782132,95.71265,95.0583,115.50843,29.9409,10045.676371041,,95.24784851,99.08241272,102.6626282,95.30064,81.15596,44.80858994,1272840000000.0,10045.6805,18670.8104030112,2407278986001.28,64.81560843,21.35277992,42.11226699,81.016,0.0459439871615675,0.786431640523891,0.552078480095253,-0.640486159941833,0.681721645284336,4.316,30.0,69.0,33.6,81.0,82.0,24.0,97.0,74.7,1.69,50.2,50.3,51.2,42.4,49.4,37.0,3.87,5.86,3.98,5.1,4.1,6.16,32.04
Morocco,MAR,0.6381362306427408,0.6894772036474164,,,,,,89.25434,98.42964,94.80046,24.57194,3853.28333173025,0.6385806545384929,75.93000031,98.36000061,104.0223694,99.09904,64.4924,43.44620895,142866000000.0,3795.380127,7368.8916015625,276391560113.67,82.20652476,15.97089544,22.0739888,64.065,0.0222420315693351,0.547723616123842,0.600817497934513,-1.52151059896052,-0.29555692000216,0.565,46.0,53.0,28.97,70.0,68.0,14.0,25.0,0.0,,,,,,,103.0,3.26,5.85,4.19,5.51,3.99,5.76,29.13
Netherlands,NLD,0.6650697173220235,0.6351754879259015,19.437679,43.059402,37.502918,1256312.118,70966.057612,98.21536,99.5865,139.10524,78.50107,57871.3492096268,,,,,98.64765,93.16439,92.01217651,1012850000000.0,57767.87881,59266.9085805339,1033703786007.38,518.013068,7.131668902,12.37392663,92.572,1.0,1.0,1.0,1.6903926700055902e-15,-0.323629986442129,2.689,80.0,14.0,58.76,38.0,53.0,67.0,68.0,78.9,1.59,55.7,48.6,43.9,54.6,48.6,29.0,4.61,5.07,3.86,5.2,4.32,5.49,31.6
New Zealand,NZL,0.6614439255781868,0.6457594151528577,19.431931,40.490189,40.077881,242673.983,47341.78373,,98.42879,102.99765,80.88294,48823.5077795339,0.8385195018154843,,,,99.11677,96.86035,79.90783691,249886000000.0,48781.02663,44657.7737248265,227316999814.112,19.33158634,36.6654498,31.82157498,86.789,,,,,-0.0326712152150004,4.337,79.0,58.0,47.01,22.0,49.0,33.0,75.0,,,48.9,55.3,53.6,60.2,42.9,5.0,3.47,5.54,4.32,4.49,4.72,5.9,30.24
Norway,NOR,0.6311265442660547,0.6360906110283159,17.57239,47.220146,35.207466,518561.227,95026.796239,99.57491,99.88796,99.36978,76.78316,89241.7139378055,,,,99.2576828,99.88251,95.60786,84.44367218,482175000000.0,89154.27609,62644.8457362642,336996381517.09,14.76721523,23.43746879,19.52880007,83.323,,,,,,1.297,69.0,8.0,49.29,31.0,50.0,35.0,55.0,,,51.5,45.7,53.6,49.9,47.4,32.0,,,,,,,
