Country Name,Country Code,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio
Arab World,ARB,,,,,,,,,,,,73.58918762,83.18003082,87.33512115,84.05164,63.51428,33.2392807,2862990000000.0,6271.319001,14269.2234189005,6222533336508.79,34.29079926,28.29347195,23.07455421,59.29488647
"Bahamas, The",BHS,,,,,,,,,,,,,,,74.22717,62.4958,,11208600000.0,27478.38963,,,40.60649351,,,83.365
Caribbean small states,CSS,,,,,,,,,,,,90.78756714,97.19496918,,87.89515,74.27317,23.10461998,75295300457.0,10063.6913,15670.6004223567,116625168487.902,18.38895393,,,51.78241083
Central Europe and the Baltics,CEB,,,,,,,,,,,,99.35739899,99.50949097,93.83770752,91.3002,89.73885,64.89189148,1901940000000.0,18751.02651,33757.4207336298,3449075040051.1,92.47028789,17.12714516,,62.68922636
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,31.012
"Congo, Dem. Rep.",COD,,,,,,,,,,,,80.01999664,87.90000153,81.24053955,,,7.001490116,55350968593.0,577.2092152,,,40.95770451,33.76543263,24.02021571,46.235
"Congo, Rep.",COG,,,,,,,,,,,,80.61000061,82.36000061,67.07707977,,,12.66687965,13366230220.0,2290.382891,,,16.69743485,61.97527995,63.80556516,68.283
Cote d'Ivoire,CIV,,,,,,,,,,,,89.89341736,83.62647247,83.61065674,90.32837,40.19814,9.912989616,70043191477.0,2549.041297,,,84.31380503,37.34670093,19.4875081,52.18
Curacao,CUW,,,,,,,,,,,,,,,,,15.90299034,2699612458.0,17717.59648,,,348.9797297,,,89.038
Early-demographic dividend,EAR,,,,,,,,,,,,80.36566162,92.28018188,93.6111908,90.30715,64.08017,32.5265007,12637300000000.0,3703.900123,9381.82747839683,31261220749453.7,101.3229686,17.32832536,19.09117868,46.2764313
East Asia & Pacific,EAS,,,,,,,,,,,,96.01457977,99.02658081,97.52583313,95.90788,78.90534,51.04001999,30911700000000.0,13041.78119,18612.8518138459,43954578670842.9,96.46409635,11.41028632,,61.47327502
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,,,,,,,,96.22232819,99.12394714,97.35134888,95.90841,78.31161,48.82297897,20725200000000.0,9880.09607,,,131.4576597,7.439413574,,58.32141779
