Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Finland,FIN,GDP per capita (current US$),42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49170.75215,53654.7503
Fiji,FJI,GDP per capita (current US$),5105.262627,5368.42324,5825.129207,6073.336388,5968.300559,4864.117047,4646.612723
France,FRA,GDP per capita (current US$),36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293,43658.97898
Faroe Islands,FRO,GDP per capita (current US$),52726.74224,56834.06851,59328.17477,62576.98993,63383.19615,61980.29002,69010.3098
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),2891.322103,3022.653627,3320.354976,3623.329337,3699.081514,3639.412699,3571.336769
Gabon,GAB,GDP per capita (current US$),7090.45461,6722.198393,6975.695793,7694.906045,7523.862278,6680.08267,8635.325694
United Kingdom,GBR,GDP per capita (current US$),45071.07432,41146.07736,40621.33448,43306.3083,42747.08046,40318.55757,46510.28278
Georgia,GEO,GDP per capita (current US$),4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,4255.742993,5023.27438
Ghana,GHA,GDP per capita (current US$),1711.290666,1900.405937,1998.73798,2180.04157,2167.911589,2176.579459,2363.299296
Gibraltar,GIB,GDP per capita (current US$),,,,,,,
Guinea,GIN,GDP per capita (current US$),756.4255941,720.4732536,843.4642789,944.4172662,1043.899882,1073.659337,1189.175999
"Gambia, The",GMB,GDP per capita (current US$),611.6713342,640.6766789,632.0011462,683.3243631,722.8747931,704.029916,772.1523951
Guinea-Bissau,GNB,GDP per capita (current US$),585.9570106,642.6664064,718.2457991,781.6443091,730.6114487,710.2581385,795.1185693
Equatorial Guinea,GNQ,GDP per capita (current US$),9788.983771,8035.30787,8410.39725,8719.186217,7317.390189,6327.599012,7506.667523
Greece,GRC,GDP per capita (current US$),18083.87791,17923.96681,18582.08934,19756.99046,19144.28439,17658.9473,20192.5963
Grenada,GRD,GDP per capita (current US$),8379.621847,8849.513535,9309.230667,9574.279873,9887.920742,8437.566732,9010.572245
Greenland,GRL,GDP per capita (current US$),44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,54571.20916,
Guatemala,GTM,GDP per capita (current US$),3994.636913,4173.301666,4454.04815,4485.731255,4647.693347,4604.576679,5025.542291
Guam,GUM,GDP per capita (current US$),34522.37793,35052.80791,35663.02504,35902.7259,37752.63308,34780.86166,35904.86355
Guyana,GUY,GDP per capita (current US$),5668.429765,5905.380196,6220.978568,6094.908859,6477.296726,6863.074346,9998.544311
High income,HIC,GDP per capita (current US$),39819.18787,40441.43896,42081.11098,44527.61041,44723.92894,43415.67668,48225.24121
"Hong Kong SAR, China",HKG,GDP per capita (current US$),42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,46107.76528,49800.54241
Honduras,HND,GDP per capita (current US$),2257.222712,2295.538079,2403.304451,2457.688921,2519.370194,2354.119614,2771.717461
