Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Kazakhstan,KAZ,GDP (current US$),1.37278E+11,1.66806E+11,1.7934E+11,1.81667E+11,1.71082E+11,1.97112E+11
Kenya,KEN,GDP (current US$),74815121315,82035800868,92202956321,1.0038E+11,1.00667E+11,1.10347E+11
Kyrgyz Republic,KGZ,GDP (current US$),6813092066,7702934800,8271108638,8871026074,7780874537,8543423503
Cambodia,KHM,GDP (current US$),20016747754,22177200512,24571753583,27089389787,25872798012,26961061120
Kiribati,KIR,GDP (current US$),178509812.7,188192060.1,196230573.8,177935349.3,180911843.6,207031250
St. Kitts and Nevis,KNA,GDP (current US$),1008100000,1058937037,1076911111,1107840741,884525925.9,860840740.7
"Korea, Rep.",KOR,GDP (current US$),1.50011E+12,1.6239E+12,1.72485E+12,1.65142E+12,1.64431E+12,1.81096E+12
Kuwait,KWT,GDP (current US$),1.0942E+11,1.20707E+11,1.38182E+11,1.36197E+11,1.0596E+11,
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),4.47002E+12,4.98562E+12,4.84146E+12,4.77398E+12,3.99765E+12,4.5851E+12
Lao PDR,LAO,GDP (current US$),15912495369,17071162084,18141651381,18740559554,18981800705,18827148510
Lebanon,LBN,GDP (current US$),51147308774,53027680686,54901519156,51953744530,31712128254,23131940281
Liberia,LBR,GDP (current US$),3398419600,3390703400,3422754800,3319596500,3039982500,3509000000
Libya,LBY,GDP (current US$),49910960875,67158415842,76684175824,69252306372,50357312595,42817472975
St. Lucia,LCA,GDP (current US$),1865459670,1996710563,2057067919,2094201725,1516015719,1691275157
Latin America & Caribbean,LCN,GDP (current US$),5.2496E+12,5.83186E+12,5.70298E+12,5.61871E+12,4.74237E+12,5.45443E+12
Least developed countries: UN classification,LDC,GDP (current US$),9.96515E+11,1.11413E+12,1.09854E+12,1.15304E+12,1.17658E+12,1.28091E+12
Low income,LIC,GDP (current US$),4.89979E+11,5.49268E+11,4.95876E+11,5.0413E+11,5.0874E+11,5.62978E+11
Liechtenstein,LIE,GDP (current US$),6237264055,6474256119,6692504346,6427248943,6113951012,
Sri Lanka,LKA,GDP (current US$),88012262257,94376246467,94493847352,89014990792,85349112171,88927263725
Lower middle income,LMC,GDP (current US$),6.89923E+12,7.41221E+12,7.59976E+12,7.90859E+12,7.61724E+12,8.74253E+12
Low & middle income,LMY,GDP (current US$),2.69255E+13,2.95909E+13,3.13699E+13,3.20798E+13,3.09484E+13,3.63706E+13
Lesotho,LSO,GDP (current US$),2114428033,2306741845,2553495916,2453980835,2231214507,2496134680
Late-demographic dividend,LTE,GDP (current US$),1.85935E+13,2.06293E+13,2.26208E+13,2.3047E+13,2.24934E+13,2.66221E+13
Lithuania,LTU,GDP (current US$),43047309306,47758736932,53751411409,54751510088,56846622904,66445256585
Luxembourg,LUX,GDP (current US$),62216885436,65712180343,71000359760,69825641851,73992591285,85506243834
Latvia,LVA,GDP (current US$),28083597512,30483806018,34429023435,34343961073,34601740323,39853501580
"Macao SAR, China",MAC,GDP (current US$),45070605746,50440941939,55284360483,55204758070,25459563655,30123914809
St. Martin (French part),MAF,GDP (current US$),,,,,,
Morocco,MAR,GDP (current US$),1.11573E+11,1.18541E+11,1.27341E+11,1.2892E+11,1.21348E+11,1.42866E+11
Monaco,MCO,GDP (current US$),6472990923,6431314957,7194024563,7383745662,6739691605,8596096984
Moldova,MDA,GDP (current US$),8071469355,9669741744,11457443185,11971345003,11859730544,13679221333
Madagascar,MDG,GDP (current US$),11848613735,13176313594,13760033097,14104664515,13051441059,14472603323
Maldives,MDV,GDP (current US$),4379136462,4754175869,5300962660,5609400722,3746321936,5405576236
Middle East & North Africa,MEA,GDP (current US$),3.19232E+12,3.31325E+12,3.47725E+12,3.47205E+12,3.1157E+12,3.67984E+12
Mexico,MEX,GDP (current US$),1.07849E+12,1.15891E+12,1.22241E+12,1.26901E+12,1.09052E+12,1.27284E+12
Marshall Islands,MHL,GDP (current US$),200716000,212701200,219330300,232092300,241722400,259538700
Middle income,MIC,GDP (current US$),2.64491E+13,2.90571E+13,3.09043E+13,3.15903E+13,3.04686E+13,3.58451E+13
North Macedonia,MKD,GDP (current US$),10672471861,11307058382,12683070061,12606338449,12363580535,13825049832
Mali,MLI,GDP (current US$),14026048691,15365711725,17070866299,17280251194,17465392916,19140461606
Malta,MLT,GDP (current US$),11668253265,13489380931,15298771847,15725847979,14933066819,17364044944
Myanmar,MMR,GDP (current US$),60291736894,61449392056,67144725831,68697759361,78930257227,65091751273
